,IATA,Latitude,Longitude
503,SEN,51.5713996887207,0.6955559849739075
504,LYX,50.95610046386719,0.939167022705078
505,MSE,51.342201,1.3461100000000001
506,\N,53.7197,-0.566333
507,CAX,54.9375,-2.8091700077056885
508,\N,53.28060150146485,-0.9513890147209167
509,BLK,53.77170181274414,-3.0286099910736084
510,HUY,53.57440185546875,-0.350832998752594
511,BWF,54.1286111,-3.2675
512,LBA,53.86589813232422,-1.6605700254440308
513,\N,53.74509811401367,-2.8830599784851074
514,CEG,53.1781005859375,-2.977780103683472
515,IOM,54.08330154418945,-4.623889923095703
516,NCL,55.037498474121094,-1.6916699409484863
517,MME,54.50920104980469,-1.4294099807739258
518,EMA,52.8311004639,-1.32806003094
519,\N,52.811698913574,-4.1235799789428995
520,\N,52.87120056152344,-2.533560037612915
521,\N,52.79819869995117,-2.668040037155152
522,\N,53.5816001892,-3.05552005768
523,KOI,58.957801818847656,-2.9049999713897705
524,LSI,59.87889862060547,-1.295560002326965
525,WIC,58.458900451660156,-3.09306001663208
526,ABZ,57.20190048217773,-2.1977798938751216
527,INV,57.54249954223633,-4.047500133514403
528,GLA,55.8718986511,-4.43306016922
529,EDI,55.95000076293945,-3.372499942779541
530,ILY,55.68190002441406,-6.256669998168945
531,PIK,55.5093994140625,-4.586669921875
532,BEB,57.48109817504883,-7.362780094146728
533,SCS,60.43280029296875,-1.2961100339889526
534,DND,56.45249938964844,-3.0258300304412837
535,SYY,58.215599060058594,-6.3311100006103525
536,TRE,56.49919891357422,-6.869170188903809
537,ADX,56.37289810180664,-2.8684399127960205
538,LMO,57.7052001953125,-3.339169979095459
539,CBG,52.2050018311,0.17499999702
540,\N,52.46810150146485,-0.2511110007762909
541,NWI,52.675800323500006,1.28278005123
542,STN,51.8849983215,0.23499999940400002
543,\N,51.721698761000006,0.154166996479
544,\N,53.394299,-1.38849
545,\N,52.0722007751,-0.616666972637
546,EXT,50.73440170288086,-3.4138898849487305
547,FZO,51.519401550299996,-2.5908300876599997
548,OXF,51.8368988037,-1.32000005245
549,\N,51.616401672399995,-1.09582996368
550,\N,52.409301757799994,0.5609999895100001
551,MHZ,52.361900329589844,0.4864059984683991
552,\N,52.1273002625,0.956264019012
553,\N,52.357200622600004,-0.107832998037
554,FFD,51.6822013855,-1.7900300025900002
555,BZZ,51.75,-1.58362
556,ODH,51.2341003418,-0.9428250193600001
557,\N,52.639998999999996,-2.30558
558,NHT,51.5530014038,-0.418166995049
559,QCY,53.0929985046,-0.166014000773
560,\N,54.1371994019,-1.42025005817
561,\N,54.2924,-1.5354
562,\N,53.834301,-1.1955
563,BEQ,52.34260177612305,0.7729390263557434
564,\N,52.735699,-0.6487689999999999
565,\N,53.307800293,-0.550832986832
566,\N,52.6125984192,-0.476453006268
567,HRT,54.0489006042,-1.2527500391
568,WTN,53.1661987305,-0.5238109827040001
569,\N,54.2055015564,-1.3820899725
570,\N,53.0303001404,-0.4832420051100001
571,\N,52.962200164799995,-0.561625003815
572,KNF,52.648394999999994,0.550692
573,MPN,-51.82279968261719,-58.44720077514648
574,AMS,52.308601379399995,4.7638897895799985
575,\N,51.2552986145,5.60138988495
576,MST,50.911701202399996,5.77014017105
577,\N,52.0606,5.87306
578,\N,53.119201660200005,6.12972021103
579,EIN,51.4500999451,5.374529838559999
580,GRQ,53.1197013855,6.579440116880001
581,\N,51.56740188598633,4.931829929351807
582,DHR,52.92340087890625,4.780620098114014
583,LEY,52.46030044555664,5.527219772338867
584,LWR,53.228599548339844,5.760560035705566
585,RTM,51.956902,4.43722
586,UTC,52.1273002625,5.27618980408
587,ENS,52.275833299999995,6.8891667000000005
588,LID,52.1660995483,4.41794013977
589,WOE,51.4491,4.34203
590,ORK,51.84130096435547,-8.491109848022461
591,GWY,53.30020141601562,-8.941590309143066
592,DUB,53.42129898071289,-6.2700700759887695
593,NOC,53.9103012084961,-8.818490028381348
594,KIR,52.18090057373047,-9.52377986907959
595,\N,53.301700591999996,-6.451330184940001
596,SNN,52.701999664307,-8.9248199462891
597,SXL,54.280200958252,-8.599209785461401
598,WAT,52.18719863891602,-7.086959838867188
599,AAR,56.2999992371,10.619000434899998
600,BLL,55.7402992249,9.15178012848
601,CPH,55.617900848389,12.656000137328999
602,EBJ,55.5259017944336,8.553400039672853
603,\N,55.94139862060547,12.382200241088867
604,KRP,56.29750061035156,9.124629974365234
605,\N,57.277198791503906,11.000100135803224
606,\N,54.699298999999996,11.4401
607,ODE,55.47669982910156,10.330900192260742
608,\N,54.87030029296875,9.279009819030762
609,RKE,55.58560180664063,12.131400108337402
610,RNN,55.06330108642578,14.759599685668945
611,SGD,54.96440124511719,9.791729927062988
612,SKS,55.221047999999996,9.26702
613,\N,56.55020141601562,9.172980308532717
614,TED,57.06880187988281,8.705220222473145
615,\N,55.4362983704,9.33092021942
616,FAE,62.0635986328125,-7.277219772338867
617,\N,56.846901,9.45861
618,STA,55.9901008605957,8.353910446166992
619,AAL,57.092758913800004,9.84924316406
620,LUX,49.6233333,6.204444400000001
621,AES,62.5625,6.119699954986572
622,ANX,69.292503356934,16.144199371338
623,ALF,69.976097106934,23.371700286865
624,\N,60.63890075683594,6.501500129699707
625,BNN,65.461097717285,12.217499732971001
626,BOO,67.26920318603516,14.365300178527832
627,BGO,60.29339981,5.218140125
628,BJF,70.60050201416,29.691400527954002
629,KRS,58.2042007446289,8.085370063781737
630,\N,60.41730117797852,8.518349647521973
631,BDU,69.055801391602,18.540399551392
632,EVE,68.491302490234,16.678100585938
633,VDB,61.015598297119,9.2880601882935
634,FRO,61.583599090576,5.0247201919556
635,OSL,60.193901062011996,11.100399971008
636,HAU,59.34529876709001,5.208360195159901
637,HAA,70.486701965332,22.139699935913
638,KSU,63.111801147461,7.8245201110839995
639,\N,59.969299316400004,11.0361003876
640,KKN,69.725799560547,29.891300201416
641,FAN,58.0994987487793,6.626049995422362
642,MOL,62.744701385498,7.262499809265099
643,MJF,65.78399658203101,13.214900016785
644,LKL,70.068801879883,24.973499298095998
645,NTB,59.565701000000004,9.21222
646,OLA,63.69889831542969,9.604000091552734
647,RRS,62.578399658203004,11.342300415039
648,RYG,59.378817000000005,10.785439
649,LYR,78.246101379395,15.465600013733
650,SKE,59.18500137329102,9.566940307617188
651,SRP,59.79190063476562,5.340849876403809
